WL_mark,WL_Smoothed_Filtered_right_TA,WL_Smoothed_Filtered_right_RF,WL_Smoothed_Filtered_right_VM,WL_Smoothed_Filtered_right_MG,WL_Smoothed_Filtered_left_TA,WL_Smoothed_Filtered_left_RF,WL_Smoothed_Filtered_left_VM,WL_Smoothed_Filtered_left_MG
0.0,6.2452212960039475,6.09007898804216,3.994240127794331,5.183546283702979,5.8882618065504015,4.325470459760311,7.840628233765867,5.5030541690302535
0.0,5.946928529107353,5.1075807599935565,3.3134225953133516,5.847632565908704,7.133697380085592,1.2300879474214643,6.315497931573102,5.3876284258222515
0.0,3.9761325134490266,4.024476550498612,4.997435814533151,3.917329548399527,5.870489964501773,0.5526592722209198,4.615813505628916,4.643998229757058
0.0,3.3086532881037813,4.629653845509914,7.718518280077278,2.9200102263024776,5.794311514659972,0.5504385124965758,4.391918282338289,3.219904672706095
0.0,4.966717468070061,8.556366522982767,7.289283456956129,2.4138680210711305,4.756320122635479,0.9678308790628164,3.572892290289926,2.6362262259950193
0.0,6.002889539193777,8.751400397830295,8.035206517416755,3.790534318247489,4.874435923684601,4.237422072290753,3.2733410463146133,3.474607806283519
0.0,5.810920614266052,8.607073146745877,7.369005087708249,5.018446125940864,6.083609014724089,7.267973437509846,4.758443891854348,5.853218837165966
0.0,3.9720512125715226,5.239178201166695,4.727761960336727,5.027365552895931,10.374080317978638,7.405968957539591,5.002668269105051,8.680308551873736
0.0,4.755739327812165,4.184626417821899,4.187458477999256,3.9032198409851038,9.842800996193217,4.916619509763725,5.058289011151308,9.579028259782717
0.0,5.260486137079208,6.5574822533258885,3.618610121444542,3.1210690506793313,9.260671492932902,1.7743672417968885,4.5797131530438335,6.563804369791561
0.0,5.71196280974621,7.324662480569309,3.4896621932425305,3.515607439144288,6.566662911551882,4.39651854818643,5.703573145989878,5.0231750109504345
0.0,5.420769252334108,9.317433168340047,5.219092150358588,3.397958253151669,6.329693507277648,7.094779133372802,8.134907935177825,3.0695053610870757
0.0,3.9445228917414528,8.102561583270278,3.257466672480022,5.120838839867648,8.832096051596823,7.018218806921713,10.728658012749944,5.586932078151152
0.0,5.619675042946211,7.822316549144314,4.753296146969406,7.406126997260978,10.023661150139013,4.777892217878329,11.41142207407851,7.04608744487809
0.0,7.16425925348849,6.454327994768049,3.1122596946673293,10.837920233881281,9.626686578368243,1.0465495803058786,9.36607773213425,8.939656942191494
0.0,6.364596039011737,4.5582490619290965,4.8770850267903745,12.326105912709064,10.323011078648936,0.7143295210506304,8.27186633514481,8.001630240579754
0.0,4.418562202212201,3.612537201775551,6.588536403993175,11.097514649371737,8.219769812597281,0.5346765362240786,6.342740233485101,7.112608502746289
0.0,3.4850585194235486,4.074399997950996,6.6565062040931355,8.170241246448562,7.425861962361054,0.4293419408803237,6.525589584093915,5.156652478097508
0.0,5.519323844305252,6.955962944307259,6.806935174031233,6.3164573384907285,6.3828331532577876,0.39007425103565485,6.631501674585957,4.556398544917484
0.0,6.602036419148705,7.927817780719838,8.577095279947581,4.884997600634087,6.445629241369289,0.3891155143032803,8.317463300628573,6.335315856693453
0.0,7.068804559976526,7.452112531459555,7.57361712421024,2.979908796261652,8.313172682181005,0.3960133626082044,9.293383995218614,9.861298015879706
0.0,6.908710253866367,5.907907660049121,6.885527040963234,2.9272701676108195,10.469724185145434,0.4397931594565237,9.63562408158722,11.729078819234266
0.0,7.861046335904842,5.139718566246186,7.184455784972121,3.1243271230843774,9.625258014766366,0.5721044581608921,8.682445824701304,10.883102363547597
0.0,6.928402421480758,6.050938367950204,3.0124427909969027,4.339772716408651,8.179100031762184,0.9756399548473917,9.79177723587776,8.157599288709552
