RMS_Smoothed_Filtered_right_TA,RMS_Smoothed_Filtered_right_RF,RMS_Smoothed_Filtered_right_VM,RMS_Smoothed_Filtered_right_MG,RMS_Smoothed_Filtered_left_TA,RMS_Smoothed_Filtered_left_RF,RMS_Smoothed_Filtered_left_VM,RMS_Smoothed_Filtered_left_MG
0.09504571642397162,0.8740615098840436,0.36373576862844975,1.3472182807474193,0.13847016513525495,0.3259219179382516,0.11975198153190349,0.231189737262869
0.09547825181065848,0.7796599503098026,0.28960881079399187,0.3953526685646579,0.07533358102389179,0.2198043170467379,0.10061463603294497,0.17037280333325774
0.08133683308357059,0.7540915049236817,0.1273500234530055,0.19123044312437185,0.10154572055596935,0.21192637807724868,0.08395094180026075,0.18656104008010702
0.04817348993294304,0.4770304778371055,0.0993374382957108,0.14986297915218919,0.158863672996386,0.21746895888826637,0.07634719594892159,0.1957835866308835
0.03541287125181052,0.15711308828651097,0.0751202491963641,0.12833139436080143,0.2343722744102188,0.13997920572466568,0.07233377051774101,0.19324417839237334
0.038329600409046406,0.1598903688081274,0.08016907884797714,0.15682085384732,0.2677040404214949,0.09549109702946912,0.061311130965529585,0.11666751759645129
0.026880704013617883,0.17153995197543237,0.06819180347530633,0.139885639475878,0.31027922131937863,0.07077128332487512,0.08676123437181874,0.09362946240956678
0.034555843602850224,0.32784067482678825,0.10562768799194935,0.12957902116778808,0.3154627411112462,0.14176894316518818,0.10410375632274892,0.11551070806427916
0.05506679610840534,0.48210693516719366,0.23183786982024385,0.09579171648291036,0.2848008914959537,0.3965352380518117,0.11181256721031037,0.281484117964257
0.0866702573615149,0.602477492705346,0.3219765863013445,0.1336843296482835,0.2312165427299536,0.40688658330168853,0.09296264934611279,0.2852198928090117
0.09567868330397662,0.5615314584296466,0.32633101110057927,0.326738149128161,0.17785969230672882,0.4266031709423659,0.09699420203538874,0.36109710464764244
0.09337514249076105,0.5166381713667277,0.2555928507381656,0.40272469137289496,0.3642023038223225,0.3020813314588552,0.19881776873048382,0.34536759593243893
0.07551968298240122,0.28295494572261604,0.14441144684009505,0.5824296041003628,0.49135354644021545,0.25089049311878614,0.2054532117117255,0.3349321112945725
0.096266933209919,0.3111817145452925,0.09774716556111585,0.576356172950019,0.5116723360068927,0.22516551796279444,0.2090238127019823,0.29857016244906337
0.11162581609571709,0.555999380714337,0.12282414268720158,0.4841012077050856,0.4576439529043056,0.2943716742796393,0.1405972890607369,0.10389364948389632
0.12461638636619016,0.5048698395662682,0.1281841515330555,0.3239698040436716,0.3099500774974189,0.34658374093563343,0.09804306092594854,0.17788227959898484
0.11257274255174836,0.4970091181997277,0.12016950383043645,0.06678567175537985,0.2732022471687114,0.3996413432518355,0.3046900815017356,0.20791549000841425
0.08576532819381183,0.2694635631846611,0.10036688025358421,0.05718127360752205,0.3780640369751045,0.3467728855455073,0.31426756095335046,0.2534612032731092
0.07210831126616842,0.2490987387976113,0.07910967440679693,0.16045074822274377,0.40963132347801695,0.28259941540937583,0.35579495978692577,0.316229139841407
0.17366199777192667,0.2959323427227191,0.11716908726859131,0.18800133925478707,0.42172200924069875,0.16295314323312177,0.26627376568584565,0.3279100683924453
0.1754486955544786,0.3540426244907398,0.12307194787409755,0.19467892036175496,0.3542367526467675,0.2190405674410549,0.21600569062276,0.3071910971361242
0.17609710313731272,0.5513958669981847,0.14318633712489184,0.16058427533054767,0.27583674647952067,0.5030517461245086,0.14391269694034248,0.24447752013354604
0.07983762152226467,0.5639828357018828,0.11720887558226939,0.0914536774899574,0.23426272786115826,0.5943541878281228,0.14865409434729923,0.123570025762464
0.07230590059663956,0.5521041365224373,0.1095504085367951,0.08966005669400591,0.15721904424843944,0.59484693095925,0.12055911966808039,0.11151826491897754
0.07566597743181977,0.3254665030462855,0.06908941175030445,0.13046760062148915,0.12252421725163573,0.4938564365281223,0.09024727837002135,0.26641419409107736
0.08068291907213447,0.1936849886615208,0.07451107388636312,0.3103649595124487,0.3649046887991072,0.33052937562979484,0.07354494028858032,0.33322970977784894
0.074895313869764,0.18026716711480523,0.061866378390314496,0.32036756537622463,0.52691188212858,0.19369757108660465,0.11451563238467474,0.3509962135390138
0.07878758616517785,0.2982511745964294,0.0862389972726868,0.33285097583873374,0.5436127922802879,0.17657777291134794,0.1519507616952794,0.3381845774515999
