MAV_mark,MAV_Smoothed_Filtered_right_TA,MAV_Smoothed_Filtered_right_RF,MAV_Smoothed_Filtered_right_VM,MAV_Smoothed_Filtered_right_MG,MAV_Smoothed_Filtered_left_TA,MAV_Smoothed_Filtered_left_RF,MAV_Smoothed_Filtered_left_VM,MAV_Smoothed_Filtered_left_MG,WL_mark,WL_Smoothed_Filtered_right_TA,WL_Smoothed_Filtered_right_RF,WL_Smoothed_Filtered_right_VM,WL_Smoothed_Filtered_right_MG,WL_Smoothed_Filtered_left_TA,WL_Smoothed_Filtered_left_RF,WL_Smoothed_Filtered_left_VM,WL_Smoothed_Filtered_left_MG,SSC_mark,SSC_Smoothed_Filtered_right_TA,SSC_Smoothed_Filtered_right_RF,SSC_Smoothed_Filtered_right_VM,SSC_Smoothed_Filtered_right_MG,SSC_Smoothed_Filtered_left_TA,SSC_Smoothed_Filtered_left_RF,SSC_Smoothed_Filtered_left_VM,SSC_Smoothed_Filtered_left_MG
0.0,0.0685108351311511,0.0678316838738142,0.0684329020639322,0.0848417929591172,0.0979223132398543,0.1268736714049384,0.0815706513661024,0.0826870909818794,0.0,8.293648213614869,5.761682626327931,2.2913498138756063,1.74181547326664,3.7787608328094127,6.468993098776757,2.3357417006489287,1.6563689695767931,0,55,45,48,41,69,43,53,34
0.0,0.0571247607766354,0.0594531867128575,0.0719745406048099,0.0833926078350976,0.0557874239659978,0.1241098894650299,0.07397736730617,0.0975538925003444,0.0,8.401457628406847,5.329479541972407,2.370929562134891,1.725682418578037,1.8317124266739293,5.900462195142255,1.9024529271708743,1.910246479505108,0,65,48,52,37,54,38,42,35
0.0,0.0664953072638426,0.0502993546057372,0.0487073223052019,0.2771476368709957,0.144214878089106,0.0661576409385716,0.2205946525365818,0.183383228546616,0.0,10.192324412046954,4.824712185127821,1.6722335873006264,6.668047496155375,2.933486118179826,3.738686749088254,5.745797548829996,2.8818059642825578,0,71,54,45,48,43,41,38,40
0.0,0.069313098797492,0.0932796156726533,0.1715624374341902,0.4065402619144773,0.3294298544856011,0.1082283952767545,0.450288067888648,0.544563421785172,0.0,10.092693002399631,8.0960287455414,4.53213203896857,9.705953678314383,8.166421661472189,7.210262900250942,10.6618075677135,7.79697783538204,0,68,45,49,48,45,41,40,44
0.0,0.1105501889714578,0.1136743246652235,0.2626233958457389,0.499048772268667,0.4504010978516438,0.1345641245369509,0.5087065809794151,0.7267761583265187,0.0,12.2175213929856,10.507163324743424,7.90155220129977,12.207995756215126,10.807197042098302,9.238983125251323,13.304039941453404,10.301321872087994,0,67,45,56,50,48,43,48,47
0.0,0.1191810220356772,0.1304232678549729,0.4054651005603801,0.492490511828464,0.4784279851376425,0.162943627456066,0.5065484879756644,0.7747097110067942,0.0,13.198281797902704,12.272518741294718,11.273579931888351,10.611965438967808,11.704978626194428,11.44770404617058,13.333400543807029,10.978177474365696,0,68,50,58,47,58,53,47,52
0.0,0.1025527338208501,0.120001063612122,0.3919257107192045,0.3703262543269105,0.322390365058229,0.1765974668093168,0.3363665074068271,0.5166487308195875,0.0,10.974737137496678,11.497713782849074,12.360399770611588,8.60502937179773,8.00225521698221,12.320460764448782,8.913517517312428,8.033146859873423,0,66,52,52,57,65,57,52,53
0.0,0.0530788104423362,0.0751375393957124,0.3203792593700485,0.487817063390857,0.2377558911941253,0.1806945875579893,0.2849427501317491,0.357745311731666,0.0,7.385337287406156,7.078022704212301,10.42237294010568,10.766699522469748,6.461187366036073,13.03117659515014,7.481501238320839,5.954088446568716,0,69,61,46,61,68,58,55,56
0.0,0.0172051058264649,0.0868369663404861,0.1981048587453347,0.4838927551983004,0.3056643971277653,0.1648338254016375,0.2696773598928084,0.4942477129463307,0.0,2.41869551862354,6.846877173843556,8.345936232706848,10.85397937654253,7.016993421009872,11.840055908053138,7.364048532582526,7.344540220431283,0,65,51,51,61,59,56,53,51
0.0,0.0153324374529837,0.0525717900653388,0.1204302714073361,0.4536831914626705,0.2245854470401162,0.0963295849300861,0.1897931396555575,0.4358709002064436,0.0,2.680194115405832,4.108225416300565,4.955831826498568,10.841393372963516,5.083683302497152,7.40256609988624,4.96904510715768,6.525533168498111,0,70,49,46,64,55,52,46,53
