Time,right_TA,right_RF,right_VM,right_MG,left_TA,left_RF,left_VM,left_MG,Comp Ch 1,Comp Ch 2,Comp Ch 3,Comp Ch 4,Comp Ch 5,Comp Ch 6,Comp Ch 7,Comp Ch 8,Comp Ch 9,Comp Ch 10,Comp Ch 11,Comp Ch 12,Comp Ch 13,Comp Ch 14,Comp Ch 15,Comp Ch 16,mark
0.042,-0.146554,0.0176706,-0.0456082,0.195335,0.0238467,0.0271035,0.0813638,-0.0137373,-0.125587,0.0177034,-0.0427354,0.206836,0.0213326,0.0281425,0.0854424,-0.0126129,-0.140225,0.117549,-0.0712805,-0.0366567,0.00694586,0.0191183,0.0663602,-0.00402148,
0.043,-0.153978,0.0351332,-0.0135657,0.204941,0.043416,-0.00122082,0.103568,-0.000197476,-0.0966379,0.0338095,-0.0110453,0.211794,0.0409662,0.00545672,0.101256,0.000721066,-0.129481,0.133033,-0.0424894,-0.022043,0.0253894,-0.00596087,0.0842305,0.00954197,
0.044,-0.0293395,0.0153192,0.0176835,0.222927,0.0550116,-0.0107404,0.0912629,-0.00906427,0.0515143,0.0121338,0.0182484,0.223956,0.0526968,0.0014961,0.0798592,-0.0084884,0.0107606,0.114183,-0.0154122,0.00140834,0.0375839,-0.0116892,0.0645125,0.000364536,
0.045,0.143553,-0.00527034,0.0408872,0.250734,0.0348178,-0.00397077,0.0648893,-0.00811024,0.222613,-0.00886926,0.0394429,0.24708,0.0335066,0.0127159,0.0496306,-0.0076471,0.16629,0.094935,0.00279263,0.0350847,0.0174801,-0.00262478,0.036414,0.00128483,
0.046,0.305483,-0.0249294,0.0597781,0.265424,0.0143251,-0.00306059,0.0244757,0.0013004,0.365041,-0.027812,0.0572358,0.259274,0.0153294,0.0158254,0.01319,0.000905194,0.301762,0.0809465,0.0185135,0.0595057,9.9e-05,-0.00148722,0.00136898,0.0100119,
0.047,0.271561,-0.0528121,0.0761891,0.26221,0.00933325,0.00696351,-0.0255704,0.000912416,0.309603,-0.0545659,0.0728399,0.255474,0.0122734,0.0254376,-0.0293512,-0.00103395,0.233994,0.0582483,0.0314034,0.0671026,-0.00355632,0.0067724,-0.0394196,0.00802953,
0.048,0.28095,-0.106653,0.0917109,0.250592,0.007111,0.0190839,-0.0579678,-0.000121926,0.305889,-0.106961,0.0869103,0.243922,0.0103823,0.033968,-0.0568533,-0.00292889,0.224454,0.0124711,0.0438575,0.0686509,-0.00455105,0.0130493,-0.0657324,0.00643099,
0.049,0.406141,-0.156849,0.0992203,0.218281,0.00374972,0.0236895,-0.0840738,0.000421574,0.412999,-0.154717,0.0925429,0.211782,0.00679579,0.0324747,-0.0824998,-0.0021167,0.321525,-0.0292705,0.0473878,0.0488021,-0.00826768,0.0112853,-0.090234,0.00711421,
0.05,0.25158,-0.189961,0.101147,0.181093,-0.00127374,0.0359426,-0.0931738,-0.00334776,0.224454,-0.185085,0.0937873,0.176562,0.00240068,0.0377396,-0.0907993,-0.00508468,0.129189,-0.0523312,0.0478445,0.0275286,-0.0117495,0.0141162,-0.0973048,0.00445433,
0.051,-0.103794,-0.212962,0.0982133,0.15341,-0.00981125,0.0433327,-0.0549251,-0.0065484,-0.161407,-0.206015,0.0924532,0.15381,-0.00476942,0.0381605,-0.047326,-0.00764303,-0.264924,-0.0660859,0.0452841,0.0177569,-0.0186429,0.0154279,-0.053515,0.00168757,
