RMS_Smoothed_Filtered_right_TA,RMS_Smoothed_Filtered_right_RF,RMS_Smoothed_Filtered_right_VM,RMS_Smoothed_Filtered_right_MG,RMS_Smoothed_Filtered_left_TA,RMS_Smoothed_Filtered_left_RF,RMS_Smoothed_Filtered_left_VM,RMS_Smoothed_Filtered_left_MG,MAV_mark,MAV_Smoothed_Filtered_right_TA,MAV_Smoothed_Filtered_right_RF,MAV_Smoothed_Filtered_right_VM,MAV_Smoothed_Filtered_right_MG,MAV_Smoothed_Filtered_left_TA,MAV_Smoothed_Filtered_left_RF,MAV_Smoothed_Filtered_left_VM,MAV_Smoothed_Filtered_left_MG,WL_mark,WL_Smoothed_Filtered_right_TA,WL_Smoothed_Filtered_right_RF,WL_Smoothed_Filtered_right_VM,WL_Smoothed_Filtered_right_MG,WL_Smoothed_Filtered_left_TA,WL_Smoothed_Filtered_left_RF,WL_Smoothed_Filtered_left_VM,WL_Smoothed_Filtered_left_MG,ZC_mark,ZC_Smoothed_Filtered_right_TA,ZC_Smoothed_Filtered_right_RF,ZC_Smoothed_Filtered_right_VM,ZC_Smoothed_Filtered_right_MG,ZC_Smoothed_Filtered_left_TA,ZC_Smoothed_Filtered_left_RF,ZC_Smoothed_Filtered_left_VM,ZC_Smoothed_Filtered_left_MG
0.1962638635720442,0.261503804528908,0.3136280903658726,0.3527919664687537,0.0912346970986908,0.1148580797986493,0.0654818252546506,0.0333770129318818,0.0,0.1305960343463719,0.1913747946448931,0.2572988702846018,0.2883499525430343,0.0640605953990205,0.0922940702960538,0.0510476845329141,0.0257481120811557,0.0,9.932445839138053,10.20528758797952,12.677783508066398,14.874483088154438,6.44205335452344,8.913084973493184,4.508793789497182,2.579079726803611,0,29,17,15,15,30,32,29,35
0.215322248398533,0.2772397401715098,0.3184955744510692,0.3889338684821777,0.0513217182238002,0.1016468446703478,0.0412548634349181,0.0532842957078797,0.0,0.1604421020145378,0.2168633844482599,0.2670985631379283,0.3382098123102177,0.0372331491173602,0.0793722590889025,0.0334228492384466,0.0373358240100468,0.0,10.340546918529496,12.992474180095057,14.089398451481962,16.020379123427407,3.638873405435394,7.024103653188012,2.977549956058019,3.172350927746012,0,24,17,19,13,30,29,28,31
0.213972496939297,0.2372987241860114,0.2583143789731179,0.3295197021654705,0.0470951590910871,0.1113340844671978,0.0540697011556332,0.1108738231089286,0.0,0.1567542446304578,0.168780247631833,0.1953060831799297,0.2867185606766961,0.0343260266029811,0.0799516642128717,0.0398854003139214,0.0754315177964241,0.0,9.225975943587422,10.499239321986073,10.24200916417734,13.741086125457354,3.139854342390069,5.9851274035264455,2.658895748225611,5.149487654885666,0,22,17,20,12,29,29,23,28
0.1126482426708399,0.1626529844046612,0.1345798765629867,0.2819058812566444,0.0483834819202348,0.1258885731566019,0.0838060477305231,0.1374898873315853,0.0,0.0817976812486898,0.1289503172935337,0.1033595417622706,0.2191628447781543,0.0348942359352621,0.0941829717046656,0.0638126235792697,0.1058858573339815,0.0,6.533498225809375,8.294710901143775,6.675560043804606,10.366888877828028,2.9810339603514127,5.65923023692987,3.047992753671328,8.256162265901366,0,31,17,22,12,31,21,18,24
0.0808645399740335,0.1357803315199538,0.1195720021569208,0.2277837058109322,0.0479112294495306,0.1269448603865113,0.0827261232808186,0.1474030426510097,0.0,0.0589056925651478,0.1093277715024388,0.0910835021858729,0.1515035095995622,0.0354395935143645,0.0958284478944812,0.0617322866406938,0.1181546436566173,0.0,6.406992563143344,6.9376252013129065,7.228530924058253,7.34069440917589,2.422801715907241,5.110805504473214,2.978343637515562,10.767662998188312,0,36,16,25,13,25,16,18,28
0.0528191435192944,0.2052102547423303,0.1517177440852728,0.1294392428713098,0.0453872082421059,0.1200934209272464,0.0768909501887307,0.1231735724536741,0.0,0.0374133959039866,0.1492903478535165,0.1110362122624749,0.0778599567258403,0.0330421105082069,0.0835082811278526,0.0523868889070995,0.0914123224433374,0.0,5.450961546226377,9.632838743738688,9.574904663322576,4.317479395457906,2.2592113618669707,4.116599417963616,2.379305637837825,9.58532693986684,0,45,18,27,18,21,18,17,29
0.0639418355501839,0.2419921677000276,0.1748340471815649,0.0724305470943087,0.0623209114267756,0.1048741275958682,0.0464691816900997,0.0995816769916532,0.0,0.0446729343069973,0.1872256183709211,0.1363638770816558,0.0538801919739546,0.0406130681010989,0.0710500759058391,0.0326724571266582,0.0666840381640573,0.0,6.5003909356308265,10.391218973935128,10.69563747441756,3.0367996593778983,4.45335811345757,4.480252193607157,1.900603201138672,7.677465086722096,0,46,16,25,17,27,21,18,27
0.0594830247837,0.3137467148485245,0.201944514794984,0.1021972233221285,0.0908408316921314,0.0993407217446945,0.0418497603479639,0.0543336969469512,0.0,0.039164273728739,0.2566542206013582,0.1640603519891668,0.0707448968770422,0.0619454912685532,0.0641540847761393,0.0306759999020035,0.0359368507748562,0.0,5.549027612827459,14.676394603913106,12.490609911249472,4.0341086943780695,5.763287781873991,4.773022341253165,1.8910300696344369,3.8734057000717663,0,40,17,23,18,21,25,18,26
0.0627659640598943,0.3154047524925866,0.1742485451517878,0.1028674060222779,0.1001196868459525,0.1198055646858636,0.053779403682452,0.0773053625414008,0.0,0.0433766677121283,0.2597692772260673,0.1428273569513069,0.0713510095341946,0.0747816898776748,0.089810066928372,0.0421917987833295,0.0489268579004891,0.0,6.017800318007643,14.323919958665014,10.144556150997126,4.249125859285773,7.293790144746187,6.0622794252192005,2.4456503918057564,3.3523113060108285,0,39,16,20,20,30,22,17,19
0.0520269481660067,0.2684149851789064,0.1802245027399005,0.1069736783181894,0.0972151677588124,0.102939480720208,0.0656824109601037,0.1099249072729249,0.0,0.0368209174521938,0.2064241860679213,0.1395140769735011,0.075761546156265,0.0741648040765687,0.0804912515043171,0.0544607176056151,0.0720368170144646,0.0,4.554010600475956,12.274054549707555,9.939610575735124,4.527591157181984,7.124287663934269,5.879733801714141,2.99706165368373,3.6432204231959537,0,28,18,21,21,31,23,17,19
